Tip.labels,Display.labels
2013C-3134_fastx5,2013C-3134
2015C-3506_fastx5,2015C-3506
2015C-3777_fastx5,2015C-3777
2015C-3778_fastx5,2015C-3778
2015C-3893_fastx5,2015C-3893
2015C-3907_fastx5,2015C-3907
2015C-4116_fastx5,2015C-4116
2015C-4122_fastx5,2015C-4122
2015C-4123_fastx5,2015C-4123
2015C-4124_fastx5,2015C-4124
PNUSAE000473_fastx5,PNUSAE000473
PNUSAE000514_fastx5,PNUSAE000514
PNUSAE000632_fastx5,PNUSAE000632
PNUSAE000633_fastx5,PNUSAE000633
PNUSAE000634_fastx5,PNUSAE000634
PNUSAE000727_fastx5,PNUSAE000727
PNUSAE000768_fastx5,PNUSAE000768
PNUSAE000769_fastx5,PNUSAE000769
PNUSAE000770_fastx5,PNUSAE000770
